system_id,plot_id,t,x,y,z,sig_x,sig_y,sig_z,target_id,latitude,longitude,altitude,STN
1,1242,10.0,4487461.331674482,3080844.078594534,3320858.25465812,500,500,500,2,31.558127370489707,34.47135025861591,3969.729618399404,1
1,1243,11.5,4487463.009606358,3080769.638943016,3322407.2121892697,500,500,500,2,31.570214459347863,34.470694287629904,4745.816234583035,1
1,1244,13.0,4487304.086508836,3081884.572984686,3324984.6624848307,500,500,500,2,31.58764034454712,34.48131539467119,6521.610211405903,1
1,1245,14.5,4488637.969098414,3082432.345098274,3325713.178701279,500,500,500,2,31.586579266532244,34.47812050972299,8104.011535569094,1
1,1246,16.0,4488519.100223367,3082405.066581558,3326030.449339386,500,500,500,2,31.58954876313032,34.478591964229835,8173.576296440326,1
1,1247,17.5,4489345.353269344,3082110.83669856,3327669.321184566,500,500,500,2,31.599693002672137,34.471118594140535,9470.510632393882,1
1,1248,19.0,4489514.710827159,3083709.226898408,3329037.159430844,500,500,500,2,31.60525479347329,34.48397228270593,11076.83566471096,1
1,1249,20.5,4489915.772518961,3083880.085703201,3329973.864145484,500,500,500,2,31.610420287853508,34.48306519269665,11931.699089255184,1
1,1250,22.0,4491646.574185298,3083626.935010829,3330902.889051378,500,500,500,2,31.61148634181129,34.47056563829744,13511.70401125308,1
1,1251,23.5,4490083.638151236,3084362.540665942,3332225.2625019,500,500,500,2,31.62573471240927,34.486248418402226,13462.445593454877,1
1,1252,25.0,4491855.950965993,3085426.0203745454,3333667.415608826,500,500,500,2,31.6270500119696,34.48491405782174,15975.296268865466,1
1,1253,26.5,4491783.210433872,3084810.5201553474,3334531.060391349,500,500,500,2,31.635592127920305,34.48001250604321,16080.484028645791,1
1,1254,28.0,4492309.355581803,3085443.396803496,3335533.6918791826,500,500,500,2,31.639533634617127,34.482365743751046,17280.70562367607,1
1,1255,29.5,4492198.231250876,3086086.9223311683,3335837.225374164,500,500,500,2,31.640570895775625,34.488603718878515,17672.15583776962,1
1,1256,31.0,4492741.009278392,3085938.0240735463,3337530.823928114,500,500,500,2,31.651823351596647,34.48408278003414,18869.834635406733,1
1,1257,32.5,4492547.422263503,3086844.0446432936,3337761.4675066294,500,500,500,2,31.651920935949143,34.49308496033188,19291.754232182167,1
1,1258,34.0,4493832.236379682,3086601.78257773,3339387.43167712,500,500,500,2,31.660014454344083,34.48333972189138,20929.756484170444,1
1,1259,35.5,4493674.184422456,3087018.495009454,3339990.163347828,500,500,500,2,31.66412732539235,34.487890038802625,21336.0730913952,1
1,1260,37.0,4493259.400264935,3087209.507357091,3341275.566981036,500,500,500,2,31.675063189840326,34.492013107255254,21812.0253047524,1
1,1261,38.5,4494374.685061506,3087641.247359148,3341784.1037523285,500,500,500,2,31.673461101241607,34.48911580518053,23069.4339734558,1
1,1262,40.0,4493949.00654986,3087654.827377056,3344035.115343775,500,500,500,2,31.692292466490848,34.49176634134589,23959.68349800352,1
1,1263,41.5,4494381.18425556,3088394.087554368,3344182.8660919843,500,500,500,2,31.689764853714465,34.49559676303184,24696.617670404725,1
1,1264,43.0,4494877.700442123,3088441.1207278026,3345296.100868209,500,500,500,2,31.69621683155125,34.49304975585747,25652.33416964021,1
1,1265,44.5,4495210.300452194,3089366.853946567,3345444.8930783053,500,500,500,2,31.69358624710386,34.49908590884019,26409.839031997137,1
1,1266,46.0,4495479.889713956,3089859.259045858,3346472.957252141,500,500,500,2,31.69907742617702,34.501744483732054,27376.34181372728,1
1,1267,47.5,4494894.716866573,3089593.767696709,3347240.9854966765,500,500,500,2,31.707930680741782,34.50292800518721,27241.732560373843,1
1,1268,49.0,4495715.791428577,3089461.7540019304,3348452.241591344,500,500,500,2,31.71434232618337,34.4969001732524,28390.452367405407,1
1,1269,50.5,4497024.415795994,3090154.5989341927,3348438.182007561,500,500,500,2,31.7072938085721,34.49511357253412,29634.387201765552,1
1,1270,52.0,4496333.170780732,3090557.688943013,3349107.185137557,500,500,500,2,31.714013464307502,34.502713305698336,29695.623651981357,1
1,1271,53.5,4496937.648812776,3091840.963889117,3350459.8770801006,500,500,500,2,31.718560685616776,34.51022155562579,31448.89926084876,1
1,1272,55.0,4497178.380080728,3090964.706321414,3351620.7336412426,500,500,500,2,31.72882791397092,34.501208281353286,31805.81905738637,1
1,1273,56.5,4497528.525532452,3090169.980104804,3352745.908841238,500,500,500,2,31.73817744123492,34.492249019111895,32260.24867682625,1
1,1274,58.0,4497764.033894757,3090867.230045778,3351840.862318853,500,500,500,2,31.72849084142044,34.49688218583248,32285.1495055398,1
1,1275,59.5,4497453.490506762,3091593.743875332,3352568.582244643,500,500,500,2,31.733310195987123,34.50501468750325,32800.21131801605,1
1,1276,61.0,4498293.543205504,3092060.921177776,3353567.037725191,500,500,500,2,31.73641293521277,34.50406074044539,34139.23542837892,1
1,1277,62.5,4497786.336042641,3091692.891908509,3354358.6771286963,500,500,500,2,31.745408546347008,34.50389306096711,34022.93816036638,1
1,1278,64.0,4498797.944236657,3092932.619363078,3354759.4693649164,500,500,500,2,31.74121768340871,34.508601104020975,35539.977572133765,1
1,1279,65.5,4498329.904917704,3091972.459628955,3355831.236233279,500,500,500,2,31.75377856412588,34.50307933323964,35313.39270831924,1
1,1280,67.0,4497942.651740025,3092913.584645985,3355992.5577617013,500,500,500,2,31.753998488654897,34.5135223868447,35580.30848158989,1
1,1281,68.5,4498874.521490272,3092957.5973967374,3356848.411724822,500,500,500,2,31.75678274762092,34.508361821497566,36704.870673361234,1
1,1282,70.0,4498430.377924319,3093679.817089399,3357006.568802353,500,500,500,2,31.75778456085643,34.51724821560538,36824.86890115403,1
1,1283,71.5,4498401.747373394,3093617.072007792,3357604.541746935,500,500,500,2,31.76262249532183,34.51687591034833,37089.33263558708,1
1,1284,73.0,4499742.153435341,3094122.192056068,3357564.517061672,500,500,500,2,31.755754876001216,34.51327356272009,38250.71320847981,1
1,1285,74.5,4499905.093993316,3094037.1862427634,3359006.8794716,500,500,500,2,31.766341777456976,34.51157004035453,39083.14795420226,1
1,1286,76.0,4499215.998889416,3093782.339293859,3358873.140029744,500,500,500,2,31.768683634449967,34.51346328777586,38407.22386301495,1
1,1287,77.5,4499972.053486256,3093995.6376591874,3359307.622498318,500,500,500,2,31.76848430358353,34.51081280548522,39268.37717808131,1
1,1288,79.0,4499399.192819309,3094953.555207152,3358793.316864522,500,500,500,2,31.76423096730103,34.52249951159729,39057.79893237725,1
1,1289,80.5,4500295.7633123,3094307.0046991617,3360252.120408125,500,500,500,2,31.773589730661893,34.511580437317505,40142.42987376638,1
1,1290,82.0,4500374.898579991,3095798.7046461543,3360495.7977225906,500,500,500,2,31.771149979399365,34.52400324607615,41044.790121272206,2
1,1291,83.5,4499233.443409335,3095254.335944792,3361396.3150821924,500,500,500,2,31.7839038220604,34.526085011773155,40457.29093270097,2
1,1292,85.0,4499583.483253662,3095481.060195576,3360932.4828608846,500,500,500,2,31.778402848852235,34.525963264366204,40567.38537918404,2
1,1293,86.5,4499345.219281053,3095831.7605536385,3361662.533757088,500,500,500,2,31.78395224014807,34.53041109482064,40954.00093056075,2
1,1294,88.0,4499694.751879355,3095663.2893128265,3361036.7740402822,500,500,500,2,31.77827727561493,34.52687664716662,40788.03858946171,2
1,1295,89.5,4500266.148639022,3095172.468711065,3361851.202132283,500,500,500,2,31.783571887553823,34.51923745945363,41380.70406424999,2
1,1296,91.0,4500021.24238585,3097160.929915774,3362206.664147665,500,500,500,2,31.781912507708373,34.537876697236186,42354.50300371833,2
1,1297,92.5,4500207.492295598,3095716.807373278,3362150.8106057635,500,500,500,2,31.784625996732817,34.52429069674545,41759.65958506614,2
1,1298,94.0,4500437.32829025,3095956.857642354,3362486.198770843,500,500,500,2,31.785644538798422,34.524998838436744,42212.92749039084,2
1,1299,95.5,4500060.177070462,3097223.145387691,3362377.0772629683,500,500,500,2,31.782892496602827,34.53818269995171,42501.50621439703,2
1,1300,97.0,4500341.195087578,3097172.522126804,3362327.8553914465,500,500,500,2,31.78156082165784,34.536074392249326,42647.96496277116,2
1,1301,98.5,4500085.70217854,3097193.917101628,3362785.3634556173,500,500,500,2,31.785980566370185,34.53777839928738,42720.34786798712,2
1,1302,100.0,4500901.602330347,3096811.5261765444,3362914.115932193,500,500,500,2,31.784812339604134,34.52962381659108,43175.23411454912,2
1,1303,101.5,4500213.807491397,3097385.804986556,3362278.4378241897,500,500,500,2,31.781109085788515,34.538674459460594,42635.524357238784,2
1,1304,103.0,4500508.170909056,3097197.318809053,3363557.549025935,500,500,500,2,31.790208784008197,34.535295844089305,43424.57181929052,2
1,1305,104.5,4500255.001016821,3097888.5798554127,3363641.005728834,500,500,500,2,31.789978876972672,34.54277285139613,43624.404511962086,2
1,1306,106.0,4500772.565666498,3097057.4236054355,3363481.63285838,500,500,500,2,31.78897725514173,34.53251535542513,43502.30268722121,2
1,1307,107.5,4499746.084158399,3098425.813236566,3363089.8370049046,500,500,500,2,31.78632283147659,34.55044001437293,43236.713644973934,2
1,1308,109.0,4500720.331151454,3096394.437203793,3362472.778277834,500,500,500,2,31.78327181126962,34.52709765984802,42614.86926201824,2
